Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
36;6;Daniel Philip Aaby Holt;;M;;;SS4;Menn senior;0;;;;DNS
37;7;Anders Iversen;;M;;;SS4;Menn senior;0;;;;DNS
38;19;Jørgen Beyer Strømquist;;M;;;SS4;Menn senior;0;;;;DNS
39;50;Jens Flakstad Vold;;M;;;SS4;Menn senior;0;;;;DNS
1;38;Jenny Lindell;;F;;;SS4;Kvinner;15:51;;;;OK
2;36;Silje Holmsen;;F;;;SS4;Kvinner;0;;;;DNS
1;53;Andreas Hegrum Askjer;;M;;;SS4;Menn junior;7:33;;;;OK
2;47;Peder Kirkebøen;;M;;;SS4;Menn junior;8:07;;;;OK
3;51;Tobias Sandengren;;M;;;SS4;Menn junior;8:39;;;;OK
4;48;Jonas Olsson;;M;;;SS4;Menn junior;9:00;;;;OK
5;49;Kristian Holiman;;M;;;SS4;Menn junior;9:23;;;;OK
6;52;Noah Holmefjord-Dalland;;M;;;SS4;Menn junior;11:39;;;;OK
1;42;Aleksander Ødegaard;;M;;;SS4;Sport;7:18;;;;OK
2;43;Henrik Mülhbradt;;M;;;SS4;Sport;8:32;;;;OK
3;45;Anders Rustberggaard;;M;;;SS4;Sport;10:14;;;;OK
4;44;Øyvind Stormyrbrakken;;M;;;SS4;Sport;12:01;;;;OK
5;41;Thomas Haug;;M;;;SS4;Sport;12:47;;;;OK
6;46;Jørgen Pettersson;;M;;;SS4;Sport;13:00;;;;OK
1;2;Emil Aamil Carlson;;M;;;SS5;Menn senior;13:08;;;;OK
2;13;Erlend Hegrum Askjer;;M;;;SS5;Menn senior;13:25;;;;OK
3;8;Martin Svendsen;;M;;;SS5;Menn senior;14:44;;;;OK
4;4;Petter Bentzen;;M;;;SS5;Menn senior;15:07;;;;OK
5;30;Anders Ruud Gundersen;;M;;;SS5;Menn senior;15:21;;;;OK
6;1;Jostein Hole;;M;;;SS5;Menn senior;15:38;;;;OK
7;33;Per Christian Dahl Larsen;;M;;;SS5;Menn senior;15:50;;;;OK
8;25;Tony Gjessvåg;;M;;;SS5;Menn senior;15:58;;;;OK
9;22;Trym Flaget;;M;;;SS5;Menn senior;16:31;;;;OK
