"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"12";"48";"Petter Andreas";"Strøm";"M";"NOR";"Sti5 / Kattadiestøgg";"SS3";"Menn";"4:34.40";"0:21.30";"2014-08-23T15:08:04.4410000";"OSLO";""
"13";"20";"Lars Tore";"Lesteberg";"M";"NOR";"I.L Noringen";"SS3";"Menn";"4:35.50";"0:22.40";"2014-08-23T14:54:05.5050000";"SOGNDAL";""
"14";"11";"Per Morten";"Mølsted";"M";"NOR";"Oslostudentenes IK / Sportpartner";"SS3";"Menn";"4:35.70";"0:22.60";"2014-08-23T14:49:35.7530000";"Oslo";""
"15";"15";"Bård Sturla";"Stokke";"M";"NOR";"OSLO";"SS3";"Menn";"4:36.40";"0:23.30";"2014-08-23T14:51:36.4290000";"OSLO";""
"16";"26";"Trygve";"Sande";"M";"NOR";"Vpg.No";"SS3";"Menn";"4:37.00";"0:23.90";"2014-08-23T14:57:07.0810000";"Oppdal";""
"17";"25";"Bendik Stubstad";"Henriksen";"M";"NOR";"SK Rye sykkel / Sti5";"SS3";"Menn";"4:38.10";"0:25.00";"2014-08-23T14:56:38.1240000";"Oslo";""
"18";"33";"Björn";"Olsson";"M";"SWE";"ÅKERSBERGA";"SS3";"Menn";"4:38.20";"0:25.10";"2014-08-23T15:00:38.2330000";"Åkersberga";""
"18";"27";"Tage Rickard";"Sundell";"M";"SWE";"SK Rye sykkel / Team Ibis";"SS3";"Menn";"4:38.20";"0:25.10";"2014-08-23T14:57:38.2820000";"LEIKANGER";""
"20";"42";"Daniel";"Jarstø";"M";"NOR";"Klepp Cykle Club";"SS3";"Menn";"4:38.70";"0:25.60";"2014-08-23T15:05:08.7550000";"Stavanger";""
"21";"49";"Øyvind";"Karlsen";"M";"NOR";"Sti5";"SS3";"Menn";"4:39.40";"0:26.30";"2014-08-23T15:08:39.4980000";"ÅL";""
"22";"18";"Andreas";"Drageset";"M";"NOR";"Bergen MTB Klubb / #Bergentailtapcrew";"SS3";"Menn";"4:40.00";"0:26.90";"2014-08-23T14:53:10.0850000";"Os";""
"23";"17";"Eirik";"Finseth";"M";"NOR";"Vpg.No";"SS3";"Menn";"4:40.10";"0:27.00";"2014-08-23T14:52:40.1280000";"Oppdal";""
"24";"59";"Leiv";"Tvenning";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"4:40.40";"0:27.30";"2014-08-23T15:13:40.4530000";"BERGEN";""
"25";"24";"Arild";"Gravdal";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"4:43.40";"0:30.30";"2014-08-23T14:56:13.4300000";"Øvre Ervik";""
"26";"32";"Christian";"Coll";"M";"NOR";"Arendal CC";"SS3";"Menn";"4:44.10";"0:31.00";"2014-08-23T15:00:14.1270000";"Arendal";""
"27";"13";"Olav";"Aga";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"4:47.10";"0:34.00";"2014-08-23T14:50:47.1290000";"BERGEN";""
"28";"29";"Eirik Lind";"Hånes";"M";"NOR";"Romeriksåsen SK / Team Shredalot";"SS3";"Menn";"4:47.70";"0:34.60";"2014-08-23T14:58:47.7950000";"OSLO";""
"29";"41";"Andreas";"Hauge";"M";"NOR";"Team Hauge";"SS3";"Menn";"4:49.70";"0:36.60";"2014-08-23T15:04:49.7860000";"PORSGRUNN";""
"30";"22";"Anders";"Veland";"M";"NOR";"Bergen MTB Klubb / #Bergentailtapcrew";"SS3";"Menn";"4:53.20";"0:40.10";"2014-08-23T14:55:23.2170000";"SOGNDAL";""
"31";"54";"Tony";"Gjessvåg";"M";"NOR";"Bergen MTB Klubb / Bergen MTB";"SS3";"Menn";"4:59.10";"0:46.00";"2014-08-23T15:11:29.1030000";"Bergen";""
"31";"90";"Rune";"Nielsen";"M";"NOR";"OSLO";"SS3";"Menn";"4:59.10";"0:46.00";"2014-08-23T15:29:29.1080000";"OSLO";""
