"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"145";"70";"Simen";"Scharning";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"0:00.0";"";"";"Oslo";""
"145";"13";"Hermann";"Solvær";"M";"NOR";"Kristiansands CK / Cube Action Team";"FE 1";"M Senior";"0:00.0";"";"";"KRISTIANSAND S";""
"145";"23";"Test";"Test";"M";"NOR";"GJØVIK";"FE 1";"M Senior";"0:00.0";"";"";"Gjøvik";""
"145";"82";"Robert";"Torp";"M";"NOR";"Gresvik IF";"FE 1";"M Senior";"0:00.0";"";"";"Fredrikstad";""
"145";"63";"Helge Stjern";"Tvedt";"M";"NOR";"LAKSEVÅG";"FE 1";"M Senior";"0:00.0";"";"";"LAKSEVÅG";""
"145";"200";"Torstein";"Waldal";"M";"NOR";"HOMMELVIK";"FE 1";"M Senior";"0:00.0";"";"";"HOMMELVIK";""
"145";"126";"Torjus";"Winther";"M";"NOR";"Krokskogen Cykleklubb";"FE 1";"M Senior";"0:00.0";"";"";"Hønefoss";""
"145";"51";"Yngve";"Ydersbond";"M";"NOR";"OSLO";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"1";"78";"Alice";"Grindheim";"F";"NOR";"Drammen CK";"FE 2";"K Senior";"18:43.0";"0:00.0";"2015-05-23T12:56:42.9030000";"Oslo";""
"2";"58";"Stina";"Bondehagen";"F";"NOR";"Oslostudentenes IK";"FE 2";"K Senior";"18:58.0";"0:15.0";"2015-05-23T12:46:47.3560000";"Oslo";""
"3";"83";"Hilde";"Strædet";"F";"NOR";"Kristiansands CK / Kristiansand Cykelklubb";"FE 2";"K Senior";"19:21.0";"0:38.0";"2015-05-23T12:59:14.0050000";"Kristiansand S";""
"4";"85";"Vera";"Leivsdottir";"F";"NOR";"NTNUI";"FE 2";"K Senior";"19:43.0";"1:00.0";"2015-05-23T13:00:24.7280000";"Bergen";""
"5";"136";"Helene Thon";"Moland";"F";"NOR";"Hemsedal IL Sykkel";"FE 2";"K Senior";"20:30.0";"1:47.0";"2015-05-23T13:25:57.0850000";"Hosle";""
"6";"182";"Anne";"Melbo";"F";"NOR";"Molde CK";"FE 2";"K Senior";"20:41.0";"1:58.0";"2015-05-23T13:49:11.9170000";"Molde";""
"7";"104";"Ida";"Håkonsson";"F";"NOR";"SK Rye sykkel";"FE 2";"K Senior";"21:11.0";"2:28.0";"2015-05-23T13:10:16.8620000";"Oslo";""
"8";"131";"Astri";"Knudsen";"F";"NOR";"SK Rye sykkel / Team Ibis";"FE 2";"K Senior";"21:15.0";"2:32.0";"2015-05-23T13:23:47.4660000";"LEIKANGER";""
"9";"96";"Joline";"Johansson";"F";"SWE";"Drammen CK";"FE 2";"K Senior";"21:36.0";"2:53.0";"2015-05-23T13:06:13.4920000";"Nittedal";""
"10";"184";"Elin";"Berg";"F";"NOR";"MOLDE";"FE 2";"K Senior";"22:09.0";"3:26.0";"2015-05-23T13:50:23.1120000";"Molde";""
"11";"154";"Randi-Lise";"Almås";"F";"NOR";"OSLO";"FE 2";"K Senior";"22:38.0";"3:55.0";"2015-05-23T13:35:51.0450000";"OSLO";""
"12";"144";"Elinborg";"Ólafsdóttir";"F";"ISL";"Bergen MTB Klubb";"FE 2";"K Senior";"22:45.0";"4:02.0";"2015-05-23T13:31:01.3740000";"BERGEN";""
"13";"98";"Martine";"Walbye";"F";"NOR";"SKREIA";"FE 2";"K Senior";"23:37.0";"4:54.0";"2015-05-23T13:07:56.0830000";"SKREIA";""
"14";"97";"Guro";"Stjernvang";"F";"NOR";"Hemsedal IL Sykkel / Star Motor";"FE 2";"K Senior";"24:43.0";"6:00.0";"2015-05-23T13:07:06.0220000";"Hosle";""
"15";"198";"Inger Helene";"Hamborg";"F";"NOR";"Snertne Pigers Velocipedklub";"FE 2";"K Senior";"26:24.0";"7:41.0";"2015-05-23T13:57:50.8700000";"Kongsberg";""
"16";"152";"Maria";"Bergli";"F";"NOR";"DRAMMEN";"FE 2";"K Senior";"28:23.0";"9:40.0";"2015-05-23T13:35:21.2500000";"Drammen";""
"17";"199";"Beate";"Akselsen";"F";"NOR";"OSLO";"FE 2";"K Senior";"28:48.0";"10:05.0";"2015-05-23T13:59:20.2330000";"OSLO";""
"18";"94";"Synne Marie";"Moss Opsand";"F";"NOR";"OSLO";"FE 2";"K Senior";"40:04.0";"21:21.0";"2015-05-23T13:05:29.7250000";"OSLO";""
"19";"146";"Elisabeth";"Engström";"M";"SWE";"Göteborgs Stigcyklister";"FE 2";"K Senior";"0:00.0";"";"";"Göteborg";""
"19";"105";"Silje Katarina";"Holmsen";"F";"NOR";"Drammen CK";"FE 2";"K Senior";"0:00.0";"";"";"Drammen";""
"19";"130";"Eva";"Spilleth";"F";"NOR";"Bærum OCK";"FE 2";"K Senior";"0:00.0";"";"";"VOGNILL";""
"1";"197";"Johan- Jørgen";"Lindgaard-Strømberg";"M";"NOR";"Bærum OCK / Team Oslo Sportslager";"FE 2";"M Senior";"5:47.0";"0:00.0";"2015-05-23T13:58:47.1280000";"Strømmen";""
"2";"2";"Zakarias Blom";"Johansen";"M";"NOR";"SK Rye sykkel";"FE 2";"M Senior";"13:58.0";"8:11.0";"2015-05-23T12:17:53.4890000";"Kolsås";""
"3";"4";"Lars Vatnebryn";"Sandviken";"M";"NOR";"Drammen CK";"FE 2";"M Senior";"14:17.0";"8:30.0";"2015-05-23T12:18:59.4830000";"Kongsberg";""
"4";"8";"Ove";"Grøndal";"M";"NOR";"Trailhead Nesbyen";"FE 2";"M Senior";"14:20.0";"8:33.0";"2015-05-23T12:20:57.9810000";"NESBYEN";""
"5";"1";"Espen";"Johnsen";"M";"NOR";"Bergen MTB Klubb";"FE 2";"M Senior";"14:36.0";"8:49.0";"2015-05-23T12:17:34.4960000";"Bergen";""
"6";"3";"Jostein";"Hole";"M";"NOR";"Drammen CK / FMC Kongsberg Subsea / Nbnl";"FE 2";"M Senior";"14:40.0";"8:53.0";"2015-05-23T12:18:32.8700000";"Drammen";""
"7";"54";"Guy Peter";"Gibbs";"M";"NOR";"Www.Ride.Io";"FE 2";"M Senior";"15:01.0";"9:14.0";"2015-05-23T12:44:04.7600000";"HAFRSFJORD";""
"8";"6";"Svenn";"Fjeldheim";"M";"NOR";"Nedre Buskerud Nerroverlag";"FE 2";"M Senior";"15:08.0";"9:21.0";"2015-05-23T12:20:13.2930000";"Solbergelva";""
"9";"90";"Ole Christian";"Fagerli";"M";"NOR";"Raumer Rytter SK / Team  Milslukern";"FE 2";"M Senior";"15:13.0";"9:26.0";"2015-05-23T13:02:11.7130000";"Skedsmokorset";""
"10";"22";"Ted";"Johansen";"M";"NOR";"IF Frøy";"FE 2";"M Senior";"15:20.0";"9:33.0";"2015-05-23T12:28:12.3160000";"OSLO";""
"11";"7";"Tom";"Haukom";"M";"NOR";"FMC";"FE 2";"M Senior";"15:25.0";"9:38.0";"2015-05-23T12:20:35.8440000";"KONGSBERG";""
